#       xJ          yJ
#
  1.122300   0.002650
  1.122550   0.002222
  1.122800   0.001740
  1.123050   0.001159
  1.123300   0.000979
  1.123550   0.001793
  1.123800   0.002493
  1.124050   0.002281
  1.124300   0.002466
  1.124550   0.002734
  1.124800   0.002001
  1.125050   0.001618
  1.125300   0.002444
  1.125550   0.003050
  1.125800   0.002532
  1.126050   0.002364
  1.126300   0.002999
  1.126550   0.002978
  1.126800   0.002954
  1.127050   0.003932
  1.127300   0.004218
  1.127550   0.003451
  1.127800   0.003615
  1.128050   0.004131
  1.128300   0.004190
  1.128550   0.004516
  1.128800   0.005000
  1.129050   0.004863
  1.129300   0.003831
  1.129550   0.003661
  1.129800   0.004592
  1.130050   0.004954
  1.130300   0.005152
  1.130550   0.005648
  1.130800   0.005539
  1.131050   0.005071
  1.131300   0.005493
  1.131550   0.006425
  1.131800   0.006548
  1.132050   0.006273
  1.132300   0.006579
  1.132550   0.006714
  1.132800   0.006757
  1.133050   0.007707
  1.133300   0.008584
  1.133550   0.008762
  1.133800   0.009015
  1.134050   0.009236
  1.134300   0.009114
  1.134550   0.009501
  1.134800   0.011077
  1.135050   0.012463
  1.135300   0.012317
  1.135550   0.012106
  1.135800   0.012768
  1.136050   0.013093
  1.136300   0.013503
  1.136550   0.014626
  1.136800   0.015361
  1.137050   0.015823
  1.137300   0.016842
  1.137550   0.018281
  1.137800   0.019404
  1.138050   0.020034
  1.138300   0.021147
  1.138550   0.022071
  1.138800   0.022512
  1.139050   0.024055
  1.139300   0.026155
  1.139550   0.027751
  1.139800   0.029158
  1.140050   0.030702
  1.140300   0.032455
  1.140550   0.034293
  1.140800   0.036855
  1.141050   0.039816
  1.141300   0.041717
  1.141550   0.043774
  1.141800   0.046998
  1.142050   0.049959
  1.142300   0.052878
  1.142550   0.056311
  1.142800   0.059671
  1.143050   0.063168
  1.143300   0.067336
  1.143550   0.072062
  1.143800   0.076534
  1.144050   0.081081
  1.144300   0.087024
  1.144550   0.093198
  1.144800   0.098458
  1.145050   0.104527
  1.145300   0.111720
  1.145550   0.118440
  1.145800   0.125685
  1.146050   0.134295
  1.146300   0.143325
  1.146550   0.151725
  1.146800   0.160860
  1.147050   0.171255
  1.147300   0.181335
  1.147550   0.191205
  1.147800   0.202545
  1.148050   0.213990
  1.148300   0.224805
  1.148550   0.236670
  1.148800   0.249165
  1.149050   0.261135
  1.149300   0.273735
  1.149550   0.287385
  1.149800   0.300825
  1.150050   0.313740
  1.150300   0.328020
  1.150550   0.343350
  1.150800   0.357315
  1.151050   0.370440
  1.151300   0.384615
  1.151550   0.400155
